complaint_id,text,category,area,date,report_count,urgency_score,status
CMP0154,Garbage not collected for a week in Gandhi Nagar,Garbage,Gandhi Nagar,2024-05-16,5,3.5,Pending
CMP0155,Sewage mixing with drinking water in Model Town,Drainage,Model Town,2024-12-03,4,8.8,Pending
CMP0156,Exposed live wire near playground in Sector 7,Electricity,Sector 7,2024-06-19,7,5.1,Pending
CMP0157,Contaminated water supply in Sector 5,Water Supply,Sector 5,2024-10-19,10,3.1,In Progress
CMP0158,Road cave-in near market in Sector 7,Roads,Sector 7,2024-08-30,4,4.5,In Progress
CMP0159,Very low water pressure in New Colony,Water Supply,New Colony,2024-01-19,1,5.5,Pending
CMP0160,Footpath encroached by vendors in New Colony,Roads,New Colony,2024-02-21,7,1.1,Pending
CMP0161,Water tanker not arriving in Ward 2,Water Supply,Ward 2,2024-08-28,9,4.0,In Progress
CMP0162,Road cave-in near market in Sector 7,Roads,Sector 7,2024-12-11,5,9.6,In Progress
CMP0163,Sparking wire hanging on pole in Gandhi Nagar,Electricity,Gandhi Nagar,2024-01-19,7,3.1,In Progress
CMP0164,Waste dumped near school in Sector 5,Garbage,Sector 5,2024-02-16,6,9.8,In Progress
CMP0165,Speed breaker needed urgently in New Colony,Roads,New Colony,2024-03-26,6,9.1,Pending
CMP0166,Divider damaged on road in Sector 12,Roads,Sector 12,2024-07-02,9,4.9,Pending
CMP0167,Street light not working at night in Model Town,Electricity,Model Town,2024-12-15,5,2.5,Pending
CMP0168,Voltage fluctuation damaging appliances in Model Town,Electricity,Model Town,2024-12-15,10,5.5,Pending
CMP0169,Water tanker not arriving in New Colony,Water Supply,New Colony,2024-11-22,12,5.1,In Progress
CMP0170,Street light not working at night in Sector 12,Electricity,Sector 12,2024-12-12,7,1.7,Resolved
CMP0171,Drain not cleaned for months in Sector 12,Drainage,Sector 12,2024-11-23,1,7.2,Pending
CMP0172,Stray animals spreading garbage in Sector 5,Garbage,Sector 5,2024-07-15,8,2.0,Pending
CMP0173,Dead animals not removed from road in Model Town,Garbage,Model Town,2024-05-31,8,1.2,In Progress
CMP0174,Power cut for more than 6 hours in Sector 12,Electricity,Sector 12,2024-01-05,5,9.2,In Progress
CMP0175,Garbage truck has not visited in Sector 5,Garbage,Sector 5,2024-11-06,7,3.0,Pending
CMP0176,Dustbin overflowing on street in Ward 3,Garbage,Ward 3,2024-11-17,4,9.1,In Progress
CMP0177,Garbage truck has not visited in New Colony,Garbage,New Colony,2024-01-18,7,7.6,Pending
CMP0178,Burning garbage near residential park in Sector 7,Garbage,Sector 7,2024-07-31,4,2.8,In Progress
CMP0179,Dead animals not removed from road in Gandhi Nagar,Garbage,Gandhi Nagar,2024-09-13,7,8.5,Pending
CMP0180,Sparking wire hanging on pole in Sector 12,Electricity,Sector 12,2024-06-22,5,5.2,Pending
CMP0181,Borewell pump not working in Old City,Water Supply,Old City,2024-10-12,12,1.8,Pending
CMP0182,Stray animals spreading garbage in Gandhi Nagar,Garbage,Gandhi Nagar,2024-03-04,5,4.3,In Progress
CMP0183,Garbage truck has not visited in Model Town,Garbage,Model Town,2024-07-14,5,2.0,Pending
CMP0184,Divider damaged on road in Model Town,Roads,Model Town,2024-10-14,5,9.2,Pending
CMP0185,Speed breaker needed urgently in New Colony,Roads,New Colony,2024-12-24,4,6.8,Pending
CMP0186,Footpath encroached by vendors in Ward 1,Roads,Ward 1,2024-06-04,5,2.0,Pending
CMP0187,Sewage mixing with drinking water in Ward 3,Drainage,Ward 3,2024-07-17,7,4.3,Resolved
CMP0188,Foul smell coming from open drain in Old City,Drainage,Old City,2024-10-27,4,9.0,In Progress
CMP0189,Transformer burnt in colony in Model Town,Electricity,Model Town,2024-07-27,3,1.3,Pending
CMP0190,Electricity meter reading wrong in New Colony,Electricity,New Colony,2024-04-30,4,1.9,In Progress
CMP0191,Drain not cleaned for months in Sector 7,Drainage,Sector 7,2024-02-01,4,3.5,Resolved
CMP0192,Voltage fluctuation damaging appliances in Ward 2,Electricity,Ward 2,2024-12-05,9,6.8,Pending
CMP0193,Road flooded after rain in Ward 1,Roads,Ward 1,2024-06-19,6,9.9,In Progress
CMP0194,Water pipe leakage on street in Ward 2,Water Supply,Ward 2,2024-10-10,5,6.3,In Progress
CMP0195,No water supply since 3 days in Sector 7,Water Supply,Sector 7,2024-03-16,10,3.5,Resolved
CMP0196,Very low water pressure in Gandhi Nagar,Water Supply,Gandhi Nagar,2024-05-08,2,2.0,Resolved
CMP0197,Water pipe leakage on street in Ward 1,Water Supply,Ward 1,2024-07-02,9,6.3,Pending
CMP0198,Waste dumped near school in Ward 1,Garbage,Ward 1,2024-03-05,11,5.7,In Progress
CMP0199,Sparking wire hanging on pole in New Colony,Electricity,New Colony,2024-07-04,7,5.1,Pending
CMP0200,Drainage pipe broken and leaking in Ward 1,Drainage,Ward 1,2024-12-03,8,5.1,Resolved
CMP0201,Road cave-in near market in New Colony,Roads,New Colony,2024-07-24,6,7.2,Pending
CMP0202,Electricity meter reading wrong in Ward 2,Electricity,Ward 2,2024-02-11,5,6.5,Pending
CMP0203,Garbage truck has not visited in Model Town,Garbage,Model Town,2024-11-20,6,4.4,Pending
CMP0204,Waste dumped near school in New Colony,Garbage,New Colony,2024-09-15,3,1.9,In Progress
CMP0205,Sewage mixing with drinking water in Sector 5,Drainage,Sector 5,2024-08-08,8,9.0,Pending
CMP0206,Sparking wire hanging on pole in Old City,Electricity,Old City,2024-07-31,4,3.8,Pending
CMP0207,Stray animals spreading garbage in Sector 7,Garbage,Sector 7,2024-03-19,5,1.6,In Progress
CMP0208,Divider damaged on road in Old City,Roads,Old City,2024-02-19,3,8.3,Pending
CMP0209,Severe waterlogging after rain in Gandhi Nagar,Drainage,Gandhi Nagar,2024-10-14,8,7.0,Pending
CMP0210,Transformer burnt in colony in Ward 1,Electricity,Ward 1,2024-05-27,6,4.2,Pending
CMP0211,Water meter reading incorrect in Ward 3,Water Supply,Ward 3,2024-12-02,11,3.0,Pending
CMP0212,Drainage pipe broken and leaking in Sector 7,Drainage,Sector 7,2024-02-28,7,6.2,In Progress
CMP0213,Blocked drain causing street flooding in Model Town,Drainage,Model Town,2024-11-10,10,6.5,In Progress
CMP0214,Dead animals not removed from road in Ward 1,Garbage,Ward 1,2024-04-02,9,7.3,Pending
CMP0215,Burning garbage near residential park in Sector 7,Garbage,Sector 7,2024-01-04,6,8.8,Pending
CMP0216,Power cut for more than 6 hours in Ward 2,Electricity,Ward 2,2024-03-13,5,1.8,Pending
CMP0217,Electricity meter reading wrong in Old City,Electricity,Old City,2024-08-20,5,2.4,Pending
CMP0218,Dustbin overflowing on street in Model Town,Garbage,Model Town,2024-11-01,10,9.0,Pending
CMP0219,Sewage overflow on main road in Ward 1,Drainage,Ward 1,2024-12-11,1,3.4,In Progress
CMP0220,Exposed live wire near playground in Model Town,Electricity,Model Town,2024-08-14,7,3.5,In Progress
CMP0221,Road broken near school in Sector 7,Roads,Sector 7,2024-08-08,6,3.5,In Progress
CMP0222,Transformer burnt in colony in Gandhi Nagar,Electricity,Gandhi Nagar,2024-12-07,5,1.4,Pending
CMP0223,Open manhole posing danger in Ward 1,Drainage,Ward 1,2024-01-04,6,3.7,Pending
CMP0224,Borewell pump not working in Sector 12,Water Supply,Sector 12,2024-05-28,9,2.1,Pending
CMP0225,Exposed live wire near playground in Ward 3,Electricity,Ward 3,2024-03-07,7,5.8,Pending
CMP0226,Drain not cleaned for months in Sector 7,Drainage,Sector 7,2024-02-06,7,8.8,Pending
CMP0227,Divider damaged on road in New Colony,Roads,New Colony,2024-02-09,5,6.2,Pending
CMP0228,Exposed live wire near playground in Sector 12,Electricity,Sector 12,2024-02-28,4,1.2,Pending
CMP0229,Severe waterlogging after rain in New Colony,Drainage,New Colony,2024-12-19,7,1.8,In Progress
CMP0230,Contaminated water supply in Old City,Water Supply,Old City,2024-10-28,7,5.7,Pending
CMP0231,Garbage truck has not visited in Sector 7,Garbage,Sector 7,2024-04-23,3,8.0,Pending
CMP0232,Road flooded after rain in Gandhi Nagar,Roads,Gandhi Nagar,2024-09-18,3,9.2,Pending
CMP0233,Very low water pressure in Sector 5,Water Supply,Sector 5,2024-02-22,6,3.3,Pending
CMP0234,Water meter reading incorrect in Ward 2,Water Supply,Ward 2,2024-03-31,9,5.2,Pending
CMP0235,Severe waterlogging after rain in New Colony,Drainage,New Colony,2024-12-14,6,8.8,In Progress
CMP0236,Water meter reading incorrect in New Colony,Water Supply,New Colony,2024-02-04,8,5.0,Pending
CMP0237,Garbage truck has not visited in Model Town,Garbage,Model Town,2024-01-29,8,5.6,Pending
CMP0238,Electricity meter reading wrong in Ward 1,Electricity,Ward 1,2024-01-30,5,8.5,Pending
CMP0239,Road cave-in near market in Model Town,Roads,Model Town,2024-10-31,5,5.2,Pending
CMP0240,Road flooded after rain in New Colony,Roads,New Colony,2024-10-19,9,3.9,Pending
CMP0241,Dirty and muddy water from tap in Ward 1,Water Supply,Ward 1,2024-08-18,8,8.3,In Progress
CMP0242,No street lights on highway in Gandhi Nagar,Roads,Gandhi Nagar,2024-11-26,7,1.4,In Progress
CMP0243,Street light not working at night in Gandhi Nagar,Electricity,Gandhi Nagar,2024-09-24,7,4.3,Resolved
CMP0244,Power cut for more than 6 hours in Old City,Electricity,Old City,2024-06-22,2,8.1,In Progress
CMP0245,Road cave-in near market in Sector 7,Roads,Sector 7,2024-02-18,7,3.6,In Progress
CMP0246,Sewage overflow on main road in Ward 3,Drainage,Ward 3,2024-06-19,5,6.2,Pending
CMP0247,Waste dumped near school in Sector 12,Garbage,Sector 12,2024-12-01,3,2.2,In Progress
CMP0248,Road cave-in near market in Sector 12,Roads,Sector 12,2024-10-13,5,6.8,Pending
CMP0249,Contaminated water supply in Gandhi Nagar,Water Supply,Gandhi Nagar,2024-02-17,4,5.6,Pending
CMP0250,Garbage truck has not visited in Ward 3,Garbage,Ward 3,2024-04-19,8,9.5,Pending
CMP0251,Dirty and muddy water from tap in Ward 3,Water Supply,Ward 3,2024-03-20,8,3.7,In Progress
CMP0252,Blocked drain causing street flooding in Gandhi Nagar,Drainage,Gandhi Nagar,2024-09-26,3,7.0,Resolved
CMP0253,Drain not cleaned for months in Ward 3,Drainage,Ward 3,2024-11-01,4,2.4,Pending
CMP0254,Blocked drain causing street flooding in Ward 3,Drainage,Ward 3,2024-08-12,7,4.7,In Progress
CMP0255,Water tanker not arriving in New Colony,Water Supply,New Colony,2024-11-08,4,7.8,In Progress
CMP0256,Water tanker not arriving in Gandhi Nagar,Water Supply,Gandhi Nagar,2024-05-02,11,9.7,In Progress
CMP0257,Water meter reading incorrect in Sector 7,Water Supply,Sector 7,2024-12-13,5,5.2,Pending
CMP0258,Exposed live wire near playground in Gandhi Nagar,Electricity,Gandhi Nagar,2024-09-27,6,9.7,In Progress
CMP0259,Blocked drain causing street flooding in Ward 3,Drainage,Ward 3,2024-05-08,4,6.8,Resolved
CMP0260,Sewage overflow on main road in Ward 2,Drainage,Ward 2,2024-12-30,3,3.6,In Progress
CMP0261,Burning garbage near residential park in New Colony,Garbage,New Colony,2024-09-19,7,8.5,Pending
CMP0262,No water supply since 3 days in New Colony,Water Supply,New Colony,2024-06-27,4,4.7,Pending
CMP0263,Dustbin overflowing on street in Sector 5,Garbage,Sector 5,2024-07-16,1,4.4,Pending
CMP0264,No street lights on highway in Sector 7,Roads,Sector 7,2024-03-15,6,1.3,Resolved
CMP0265,No electricity in entire block in Ward 3,Electricity,Ward 3,2024-12-27,7,5.0,Pending
CMP0266,Road flooded after rain in Ward 1,Roads,Ward 1,2024-05-11,9,8.5,Pending
CMP0267,Sewage overflow on main road in Gandhi Nagar,Drainage,Gandhi Nagar,2024-08-04,6,8.0,Pending
CMP0268,Road cave-in near market in Ward 1,Roads,Ward 1,2024-05-02,10,6.8,In Progress
CMP0269,Potholes on main road in Ward 2,Roads,Ward 2,2024-09-12,8,6.7,Pending
CMP0270,No water supply since 3 days in Sector 12,Water Supply,Sector 12,2024-08-07,5,6.5,Pending
CMP0271,Sparking wire hanging on pole in Ward 3,Electricity,Ward 3,2024-12-06,11,5.7,Pending
CMP0272,Blocked drain causing street flooding in Gandhi Nagar,Drainage,Gandhi Nagar,2024-09-16,2,4.5,Pending
